Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Ravenclaw,Tamara,Hsu,2000-03-30,Left,58384,-487.88608595139,5.72718029855076,4.8788608595139,4.722,272.035831413199,532.484226115123,5.23105828728105,1039.78828074285,3.79036906635296,0.715939127013621,-232.79405,-26.89
1,Slytherin,Erich,Paredes,1999-10-14,Right,67239,-552.060507342199,-5.98744578005075,5.52060507342199,-5.612,-487.340557267342,367.760303017139,4.10717028681608,1058.94459206422,7.24874197614659,0.091674183916857,-252.18425,-113.45
2,Ravenclaw,Stephany,Braun,1999-11-03,Left,23702,-366.076116882324,7.72501660643923,3.66076116882324,6.14,664.893521234301,602.585283848459,3.5555789956035,1088.08834791218,8.72853092093983,-0.515326846280904,-227.34265,30.42
3,Gryffindor,Vesta,Mcmichael,2000-08-19,Left,32667,697.742808842469,-6.49721444459855,-6.97742808842469,4.026,-537.001128387288,523.982133193474,-4.80963660696459,920.391449310792,0.821910500587981,-0.0140404172390529,-256.84675,200.64
4,Gryffindor,Gaston,Gibbs,1998-09-27,Left,60158,436.775203553953,-7.82062305245439,,2.236,-444.26253660045,599.324514317229,-3.44437657541654,937.434724053498,4.31106582129176,-0.264070076544383,-256.3873,157.98
5,Slytherin,Corrine,Hammond,1999-04-04,Right,21209,-613.687160382273,-4.28919672694142,6.13687160382273,-6.592,-440.997704268208,396.201803914102,5.38028594948046,1052.84516372997,11.7512120351011,1.04989406820369,-247.94549,-34.69
6,Gryffindor,Tom,Guido,2000-09-30,Left,49167,628.046051224852,-4.86197624049078,-6.28046051224852,,-926.892511634967,583.742442332734,-7.32248641642791,923.539573294466,1.64666613867007,0.153021829607736,-257.83447,261.55
7,Hufflepuff,Alicia,Hayward,1997-07-08,Right,33010,411.41272684067,5.93183161830104,-4.1141272684067,2.769,-502.021336077725,439.351415741357,,1041.09193539974,6.58179131885481,-0.171704452341019,-244.03492,72.25
8,Gryffindor,Bella,Leatherman,1998-12-07,Left,20278,496.394944985282,-5.21589114586807,-4.96394944985282,5.855,-626.552041128547,567.842401593833,-6.19866122905344,925.255500387284,1.08651782131337,1.1470315267701,-252.27561,244.11
9,Hufflepuff,Hayden,Aponte,2001-10-13,Right,46316,527.193585083681,7.92220549617711,-5.27193585083681,3.356,-398.101990893231,341.475605644167,4.97861353031448,1041.41466536132,2.06882417851283,-0.529578503638637,-244.57527,-0.09
10,Hufflepuff,Antonio,Denning,1998-05-21,Right,35619,604.933961917602,5.48418854774007,-6.04933961917602,5.358,-530.795895556986,484.872671326326,5.69965356178187,1036.28535705848,9.29313189495105,-0.496553498405416,-242.69168,64.61
11,Hufflepuff,Neville,Hall,2001-02-16,Left,46550,438.556949586853,5.32051835775418,-4.38556949586853,3.014,-518.560717746304,417.064093287967,4.80143659301539,1046.76195802399,6.37696557559618,-0.919638743703082,-244.91344,20.66
12,Hufflepuff,Rocky,Trask,2000-03-13,Right,26647,709.094613837052,1.70538893152514,-7.09094613837052,7.091,-328.712955292433,435.502182821538,6.3006491745247,1037.02831689621,8.11027449567798,-0.939144430725147,-244.00363,7.56
13,Slytherin,Fred,Simms,1997-02-27,Left,37984,-544.192048826175,-7.30885598962373,5.44192048826175,-6.18,-319.946875329835,391.652916291592,2.91473188799465,1082.58140874772,10.9487908728582,1.77388667877686,-251.12516,-80.42
14,Ravenclaw,Jan,Saylor,1998-03-16,Right,44791,-197.527317691851,2.74244443396186,1.97527317691851,6.603,527.356322970751,605.590600417938,5.48009732215239,1063.52236067369,9.40748415585813,-1.11264911431775,-232.65964,-19.94
15,Ravenclaw,Long,Burks,2001-10-03,Left,21630,-447.649812236002,4.04672713676216,4.47649812236002,4.949,810.154483140904,615.531087649013,3.65349456024992,1075.85385025335,9.62289946588969,0.567095544368008,-229.38229,17
16,Gryffindor,Fran,Jorgensen,1997-09-23,Left,41907,470.653756626721,-5.51826368578101,-4.70653756626721,4.425,-434.293266122296,596.610088926384,-4.16182297440655,967.22391169736,5.02741476105588,-1.1359570117523,-252.27344,174.27
